NORMSEARCHWORD;SUMMCNT;CNT_WITH_KART;CNT_NOT_FOUND;CNT_NO_KART;QTY_POS;GENART_QTY_POS;GENART_DLNR_QTY_POS;PERCENT_QTY_POS;U4_OE;SA200;SA203FF;IAM_GENART;GENARTNR;GENARTDESCR
"5430977";398;331;12;55;55;10;0;18,18;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"54504278";2;1;1;0;1;1;1;100;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"549087";1;1;0;0;1;1;0;100;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"549091";3;3;0;0;2;2;0;100;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"57001";1197;1187;2;8;121;1;0;0,83;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"55391";60;57;0;3;16;1;0;6,25;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"5961303474";520;515;2;3;127;103;100;81,10;0;1;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"58376SET";19;19;0;0;2;2;0;100;0;0;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"58959381";2;2;0;0;1;1;0;100;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"5961303116";181;180;0;1;42;39;36;92,86;0;1;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"5961303275";164;160;3;1;48;29;27;60,42;0;1;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"5961303474ZF";23;20;3;0;3;3;3;100;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"5961304069";54;49;0;5;15;9;9;60;0;1;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"5961306996";26;26;0;0;8;5;5;62,50;0;1;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"5961308077";5;3;0;2;1;1;1;100;0;1;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"5961308278";345;341;2;2;40;37;5;92,50;0;1;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"5961308284";564;557;0;7;90;38;34;42,22;0;1;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"5961308371";156;153;0;3;31;28;13;90,32;0;1;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"5961308372";438;430;1;7;51;49;39;96,08;0;1;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
