GENARTNR;GENARTDESCR;NORMSEARCHWORD;QTY_POS;RATIO (%);VALEO;SACHS;HERTH+BUSS JAKOPARTS;JAPANPARTS;AISIN;BorgWarner;BLUE PRINT;EXEDY;RYMEC;Schaeffler LuK
479;Kupplungssatz;232002A853;4;0,0022;1;1;0;0;0;0;0;0;0;0
479;Kupplungssatz;232002A854;6;0,0033;1;1;0;0;0;0;0;0;0;0
479;Kupplungssatz;232002A862;2;0,0011;1;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;232002E300;1;0,0005;1;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;232002F010;1;0,0005;0;0;0;1;0;0;0;0;0;1
479;Kupplungssatz;232002F011;10;0,0055;0;0;0;1;0;0;0;0;0;1
479;Kupplungssatz;232002F052;2;0,0011;0;0;0;1;0;0;0;0;0;1
479;Kupplungssatz;232002F110;1;0,0005;1;1;0;1;0;0;0;0;0;0
479;Kupplungssatz;232004A040;2;0,0011;0;1;0;1;0;0;0;0;0;1
479;Kupplungssatz;232004A102;1;0,0005;0;1;0;1;0;0;0;0;0;1
479;Kupplungssatz;232004A103;1;0,0005;0;1;0;1;0;0;0;0;0;1
479;Kupplungssatz;2321157;4;0,0022;1;1;0;0;0;0;0;0;0;1
479;Kupplungssatz;2321159;36;0,0197;1;1;0;0;0;0;0;0;0;1
479;Kupplungssatz;232297;1;0,0005;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;2324A072;2;0,0011;1;1;0;1;1;0;1;0;1;1
479;Kupplungssatz;2324A078;3;0,0016;1;1;0;1;1;0;1;0;1;1
479;Kupplungssatz;232501301;1;0,0005;1;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;232602B710;1;0,0005;1;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;2326564P20000;5;0,0027;0;1;0;0;0;0;0;0;0;0
479;Kupplungssatz;2326565D00;3;0,0016;1;1;0;1;0;0;1;0;1;1
479;Kupplungssatz;2326565G00;7;0,0038;1;1;0;1;0;0;1;0;1;1
479;Kupplungssatz;2326565G00000;5;0,0027;1;1;0;1;0;0;0;0;0;1
479;Kupplungssatz;2326570C00;3;0,0016;1;1;0;1;0;0;1;0;1;1
479;Kupplungssatz;2326578B00;1;0,0005;1;1;0;1;0;0;1;0;1;1
479;Kupplungssatz;2326578E00;6;0,0033;1;1;0;1;0;0;1;0;1;1
479;Kupplungssatz;2326581A20;4;0,0022;1;1;0;1;0;0;1;0;1;1
479;Kupplungssatz;2326584C00;3;0,0016;1;1;0;1;0;0;1;0;1;1
479;Kupplungssatz;23265M79F00;1;0,0005;1;1;0;1;0;0;1;0;1;1
479;Kupplungssatz;23265M79F00000;1;0,0005;1;1;0;1;0;0;0;0;0;0
479;Kupplungssatz;2329922;4;0,0022;0;0;0;0;0;0;0;0;0;1
479;Kupplungssatz;2334071;1;0,0005;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;2335400QAD;5;0,0027;1;1;1;1;1;0;1;1;1;1
479;Kupplungssatz;2335400QAG;5;0,0027;1;1;0;1;0;0;1;1;1;1
479;Kupplungssatz;2335400QAH;25;0,0137;1;1;0;1;1;0;1;1;1;1
479;Kupplungssatz;2335400QAK;18;0,0098;1;1;1;1;1;0;1;0;1;1
479;Kupplungssatz;2335400QAL;65;0,0355;1;1;1;1;1;0;1;1;1;1
479;Kupplungssatz;2335400QAN;66;0,0361;1;1;1;1;0;0;1;1;1;1
479;Kupplungssatz;2335400QAR;29;0,0159;1;1;1;1;1;0;1;1;1;1
479;Kupplungssatz;2335400QAT;2;0,0011;1;0;0;0;0;0;1;0;1;1
479;Kupplungssatz;2335400QAU;1;0,0005;1;0;1;1;1;0;1;1;1;1
479;Kupplungssatz;23354BN700;1;0,0005;1;1;1;1;1;0;1;1;1;1
479;Kupplungssatz;23357BN700;1;0,0005;1;1;0;1;0;0;1;0;1;1
479;Kupplungssatz;2341728;1;0,0005;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;2342048;172;0,094;0;1;0;0;0;0;0;1;0;1
479;Kupplungssatz;23465953;1;0,0005;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;2349037;1;0,0005;1;1;0;0;0;0;1;0;0;1
479;Kupplungssatz;2353387;170;0,0929;1;1;1;0;1;0;1;1;1;1
479;Kupplungssatz;236248;1;0,0005;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;23721116;1;0,0005;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;2382064J00;5;0,0027;1;1;0;1;0;0;1;0;1;1
479;Kupplungssatz;2382079J00;9;0,0049;1;1;0;1;0;0;1;0;1;1
479;Kupplungssatz;2402060;1;0,0005;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;240225;2;0,0011;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;2404813;2;0,0011;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;2405828;25;0,0137;0;0;0;0;1;0;0;0;0;1
479;Kupplungssatz;240663;5;0,0027;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;240677;1;0,0005;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;240971;1;0,0005;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;241061;1;0,0005;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;241090;1;0,0005;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;24114356;1;0,0005;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;241236;2;0,0011;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;241338;1;0,0005;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;241990;1;0,0005;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;2420712;2;0,0011;0;0;0;0;0;0;0;0;1;1
