NORMSEARCHWORD;SUMMCNT;CNT_WITH_KART;CNT_NOT_FOUND;CNT_NO_KART;QTY_POS;GENART_QTY_POS;GENART_DLNR_QTY_POS;PERCENT_QTY_POS;U4_OE;SA200;SA203FF;IAM_GENART;GENARTNR;GENARTDESCR
"1001350003";525;517;0;8;94;94;13;100;0;0;1;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"1001350003SK";110;107;2;1;14;12;2;85,71;0;0;1;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"1001350003XK";42;40;0;2;1;1;0;100;0;0;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"1001350004";65;53;0;12;6;4;2;66,67;0;0;1;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"1001350005";79;71;0;8;9;8;2;88,89;0;0;1;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"1001350005SK";27;24;2;1;1;1;0;100;0;0;1;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"1001350012";143;139;0;4;22;18;0;81,82;0;0;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"1001350012XK";21;21;0;0;3;3;0;100;0;0;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"1001350013";360;339;10;11;45;45;11;100;0;0;1;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"1001350013SK";38;30;0;8;3;3;0;100;0;0;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"1001350014";409;402;0;7;95;90;0;94,74;0;0;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"1001350014XK";86;85;0;1;9;8;0;88,89;0;0;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"1001350015";44;32;0;12;1;1;0;100;0;0;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"1001350016";163;155;1;7;23;21;2;91,30;0;0;1;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"1001350016SK";41;38;0;3;7;6;0;85,71;0;0;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"1001350016XK";23;21;0;2;1;1;0;100;0;0;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"1001350101SK";34;32;0;2;2;2;0;100;0;0;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"1001350100";299;293;0;6;41;39;0;95,12;0;0;1;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"1001350100XK";19;18;0;1;2;1;0;50;0;0;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"1001350101";132;129;0;3;25;23;0;92;0;0;1;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"1001350102";5908;5820;29;59;1604;1575;9;98,19;0;0;1;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"1001350102SK";214;196;0;18;57;11;0;19,30;0;0;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"1001350102XK";448;439;0;9;80;74;0;92,50;0;0;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"1001350103";1379;1349;4;26;332;326;3;98,19;0;0;1;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"1001350103SK";90;86;0;4;8;3;0;37,50;0;0;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"1001350103XK";193;191;0;2;36;36;0;100;0;0;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"1001350105";327;309;1;17;31;30;0;96,77;0;0;1;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"1001350105MYL";1;1;0;0;1;1;0;100;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"1001350105SK";64;56;2;6;6;2;0;33,33;0;0;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"1001350105XK";76;75;0;1;7;7;0;100;0;0;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"1001350106";164;159;0;5;25;21;0;84;0;0;1;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"1001350106SK";41;36;2;3;3;3;0;100;0;0;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"1001350106XK";39;36;0;3;1;1;0;100;0;0;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
