GENART_DESC;GENARTNR;TYPENR;BSK_POS;RATIO (%);AISIN;Schaeffler LuK;BLUE PRINT;EXEDY;VALEO;JAPANPARTS;BorgWarner;HERTH+BUSS JAKOPARTS;RYMEC;SACHS
Kupplungssatz;479;19453;6;0,0037;2;3;3;2;8;1;0;0;3;9
Kupplungssatz;479;3878;2;0,0012;0;2;2;2;2;0;0;0;2;2
Kupplungssatz;479;26594;2;0,0012;0;2;0;0;2;0;0;0;0;2
Kupplungssatz;479;152693;1;0,0006;0;0;0;0;0;0;0;0;0;1
Kupplungssatz;479;122459;5;0,0031;3;3;2;3;3;0;0;2;3;4
Kupplungssatz;479;18475;2;0,0012;1;2;2;2;2;2;0;1;2;2
Kupplungssatz;479;19069;4;0,0025;2;1;1;1;2;2;0;1;1;1
Kupplungssatz;479;34923;36;0,0225;1;1;2;1;1;1;0;1;1;2
Kupplungssatz;479;58666;1;0,0006;2;3;2;2;4;1;0;0;5;3
Kupplungssatz;479;4425;1;0,0006;1;1;1;1;0;1;0;1;1;1
Kupplungssatz;479;18073;14;0,0087;1;4;3;2;4;1;0;2;3;5
Kupplungssatz;479;55802;3;0,0019;1;4;0;2;2;2;0;0;2;1
Kupplungssatz;479;11518;4;0,0025;1;1;1;1;1;3;0;0;1;0
Kupplungssatz;479;55446;4;0,0025;0;1;2;1;2;2;0;1;1;1
Kupplungssatz;479;119113;1;0,0006;2;2;2;9;0;1;0;1;4;2
Kupplungssatz;479;132932;11;0,0069;0;3;0;1;6;0;0;0;1;2
Kupplungssatz;479;17474;4;0,0025;1;1;1;3;3;1;0;0;1;1
Kupplungssatz;479;7792;2;0,0012;1;1;0;1;1;0;0;0;0;1
Kupplungssatz;479;23397;8;0,005;1;1;1;1;1;2;0;1;1;2
Kupplungssatz;479;128142;7;0,0044;0;2;0;2;3;0;0;1;1;2
Kupplungssatz;479;5262;7;0,0044;2;1;1;1;3;4;0;1;0;1
Kupplungssatz;479;32748;3;0,0019;3;5;5;4;6;2;0;2;4;5
Kupplungssatz;479;9262;2;0,0012;0;1;1;1;3;2;0;0;1;2
Kupplungssatz;479;19014;6;0,0037;1;2;1;1;7;1;0;1;2;2
Kupplungssatz;479;55338;8;0,005;3;2;1;2;2;0;0;0;2;1
Kupplungssatz;479;1393;3;0,0019;0;1;1;0;0;0;0;0;1;1
Kupplungssatz;479;19324;13;0,0081;1;2;1;1;5;1;0;1;2;2
Kupplungssatz;479;16275;9;0,0056;1;1;1;1;1;2;0;1;1;1
Kupplungssatz;479;17398;79;0,0493;5;5;7;4;15;2;0;2;6;7
Kupplungssatz;479;59068;105;0,0656;2;3;1;2;5;0;0;1;1;2
Kupplungssatz;479;8513;10;0,0062;0;1;0;3;0;3;0;0;2;3
Kupplungssatz;479;9930;92;0,0575;1;2;1;1;2;2;0;1;1;2
Kupplungssatz;479;53295;18;0,0112;2;2;0;1;5;0;0;2;6;4
Kupplungssatz;479;53296;15;0,0094;2;4;0;3;5;0;0;3;6;6
Kupplungssatz;479;16661;37;0,0231;2;3;3;1;6;4;0;1;2;2
Kupplungssatz;479;33564;3;0,0019;0;6;5;12;2;1;0;3;5;2
Kupplungssatz;479;9167;1;0,0006;0;1;0;1;1;2;0;0;1;0
Kupplungssatz;479;115676;26;0,0162;1;1;0;2;2;1;0;0;1;2
Kupplungssatz;479;77;38;0,0237;3;4;2;3;5;0;0;2;5;3
Kupplungssatz;479;11787;4;0,0025;1;1;1;1;3;0;0;1;1;1
Kupplungssatz;479;23382;20;0,0125;4;4;8;2;12;3;0;2;11;7
Kupplungssatz;479;19868;3;0,0019;1;1;1;1;1;0;0;0;1;1
Kupplungssatz;479;19594;17;0,0106;9;10;8;6;11;2;0;1;10;10
Kupplungssatz;479;31132;18;0,0112;5;5;0;6;1;5;0;1;0;5
Kupplungssatz;479;10543;3;0,0019;4;4;2;4;6;4;0;3;3;3
Kupplungssatz;479;129790;1;0,0006;0;0;0;0;0;0;0;1;0;2
Kupplungssatz;479;155418;1;0,0006;0;0;0;0;0;0;0;0;0;0
Kupplungssatz;479;14442;2;0,0012;1;1;0;0;1;1;0;1;1;0
