NORMSEARCHWORD;SUMMCNT;CNT_WITH_KART;CNT_NOT_FOUND;CNT_NO_KART;QTY_POS;GENART_QTY_POS;GENART_DLNR_QTY_POS;PERCENT_QTY_POS;U4_OE;SA200;SA203FF;IAM_GENART;GENARTNR;GENARTDESCR
"0212500601";3;3;0;0;1;1;0;100;0;0;1;0;479;"Kupplungssatz"
"0212501301";8;8;0;0;1;1;1;100;1;0;1;0;479;"Kupplungssatz"
"0212501401";19;17;0;2;1;1;1;100;1;0;1;0;479;"Kupplungssatz"
"0212502601";6;4;0;2;1;1;0;100;0;0;1;0;479;"Kupplungssatz"
"0212503401";2;1;0;1;1;1;1;100;0;0;1;0;479;"Kupplungssatz"
"0212507401";42;40;0;2;9;9;7;100;1;0;1;0;479;"Kupplungssatz"
"0212509101";41;41;0;0;4;4;4;100;1;0;1;0;479;"Kupplungssatz"
"022141015B";63;58;0;5;8;8;0;100;1;0;1;0;479;"Kupplungssatz"
"022141015R";89;87;1;1;8;8;0;100;1;0;1;0;479;"Kupplungssatz"
"022141015S";4600;4413;14;173;518;513;26;99,03;1;0;1;0;479;"Kupplungssatz"
"022141015SX";421;386;3;32;6;6;0;100;1;0;1;0;479;"Kupplungssatz"
"022141015T";14;14;0;0;1;1;0;100;0;0;1;0;479;"Kupplungssatz"
"022141016";37;35;0;2;7;6;0;85,71;1;0;1;0;479;"Kupplungssatz"
"022141016X";12;11;0;1;1;1;0;100;1;0;0;0;479;"Kupplungssatz"
"022141025M";7;6;0;1;1;1;0;100;0;0;0;0;479;"Kupplungssatz"
"022141031R";16;16;0;0;4;4;0;100;0;0;0;0;479;"Kupplungssatz"
"022141031S";253;243;0;10;40;40;5;100;0;0;0;0;479;"Kupplungssatz"
"0222500301";24;21;0;3;1;1;0;100;1;0;1;0;479;"Kupplungssatz"
"0222500501";33;30;0;3;2;2;2;100;1;0;1;0;479;"Kupplungssatz"
"0222500701";47;44;0;3;2;2;0;100;1;0;1;0;479;"Kupplungssatz"
"0222501501";9;4;0;5;1;1;1;100;0;0;1;0;479;"Kupplungssatz"
"0222505601";4;4;0;0;1;1;0;100;0;0;1;0;479;"Kupplungssatz"
"0222507501";13;13;0;0;4;4;0;100;1;0;1;0;479;"Kupplungssatz"
"023141031K";62;61;1;0;10;7;0;70;1;0;1;0;479;"Kupplungssatz"
"0232500001";10;10;0;0;1;1;0;100;1;0;1;0;479;"Kupplungssatz"
"0232500201";322;313;0;9;54;54;16;100;1;0;1;0;479;"Kupplungssatz"
"0232502901";28;25;0;3;4;4;2;100;0;0;1;0;479;"Kupplungssatz"
"0232505601";29;27;0;2;2;2;0;100;1;0;1;0;479;"Kupplungssatz"
"0232506001";3;3;0;0;1;1;1;100;0;0;1;0;479;"Kupplungssatz"
"0232506501";17;13;0;4;4;4;3;100;0;0;1;0;479;"Kupplungssatz"
"0232507301";18;12;1;5;5;5;2;100;0;0;1;0;479;"Kupplungssatz"
"0232507401";10;10;0;0;2;2;0;100;1;0;1;0;479;"Kupplungssatz"
"0232508301";12;12;0;0;1;1;0;100;1;0;1;0;479;"Kupplungssatz"
"0232509601";9;8;0;1;2;2;1;100;1;0;1;0;479;"Kupplungssatz"
"0242500801";2;2;0;0;1;1;0;100;0;0;1;0;479;"Kupplungssatz"
"0242504401";5;5;0;0;1;1;0;100;0;0;0;0;479;"Kupplungssatz"
"0242507201";30;25;0;5;3;3;2;100;1;0;1;0;479;"Kupplungssatz"
"0242507601";19;14;0;5;1;1;0;100;1;0;1;0;479;"Kupplungssatz"
"0242508401";23;21;0;2;1;1;1;100;1;0;1;0;479;"Kupplungssatz"
"0242509601";17;14;0;3;3;3;1;100;1;0;1;0;479;"Kupplungssatz"
"024618309100";2;2;0;0;2;2;0;100;0;0;0;0;479;"Kupplungssatz"
"024620331533";2;2;0;0;1;1;0;100;0;0;0;0;479;"Kupplungssatz"
"024622348700";1;1;0;0;1;1;0;100;0;0;0;0;479;"Kupplungssatz"
"024623353400";3;3;0;0;1;1;0;100;0;0;0;0;479;"Kupplungssatz"
"024624376209";1;1;0;0;1;1;0;100;0;0;0;0;479;"Kupplungssatz"
