GENART;LDATE;LKZ;DLNR;DLNRBEZ;QTY_POS
273;"2026/2";"ROW";4970;"TRICLO";1
273;"2026/2";"West Europe";4425;"VEMA";19
273;"2026/2";"SEE";4593;"TEDGUM";2
273;"2026/2";"Austria";4202;"BINDER";248
273;"2026/2";"West Europe";4975;"AP XENERGY";2
273;"2026/2";"Croatia";257;"ASHIKA";34
273;"2026/2";"Croatia";301;"TOPRAN";22
273;"2026/2";"EEU";350;"BLUE PRINT";30
273;"2026/2";"Portugal";350;"BLUE PRINT";546
273;"2026/2";"Other";55;"HERTH+BUSS JAKOPARTS";8
273;"2026/2";"Other";403;"MAXGEAR";15
273;"2026/2";"SEE";350;"BLUE PRINT";1
273;"2026/2";"Croatia";6558;"AIC";5
273;"2026/2";"Slovenia";95;"MAGNETI MARELLI";3
273;"2026/2";"Other";403;"MAXGEAR";62
273;"2026/2";"Nordic";192;"FAG";32
273;"2026/2";"Other";144;"MEYLE";288
273;"2026/2";"Other";4829;"ASMETAL";7
273;"2026/2";"Portugal";403;"MAXGEAR";1
273;"2026/2";"EEU";108;"TRISCAN";54
273;"2026/2";"Other";156;"JAPANPARTS";8
273;"2026/2";"Other";89;"DELPHI";43
273;"2026/2";"Germany";4969;"ESEN SKV";35
273;"2026/2";"Balkan";85;"KYB";1
273;"2026/2";"Other";403;"MAXGEAR";32
273;"2026/2";"Germany";151;"SWAG";34
273;"2026/2";"Germany";201;"KAVO PARTS";37
273;"2026/2";"Germany";478;"BGA";16
273;"2026/2";"Nordic";403;"MAXGEAR";56
273;"2026/2";"EEU";144;"MEYLE";17
273;"2026/2";"Nordic";144;"MEYLE";1
273;"2026/2";"ROW";108;"TRISCAN";11
273;"2026/2";"Other";4969;"ESEN SKV";8
273;"2026/2";"B";6473;"NAPA";5
273;"2026/2";"Switzerland";192;"FAG";9
273;"2026/2";"ROW";403;"MAXGEAR";5
273;"2026/2";"West Europe";378;"OPEN PARTS";8
273;"2026/2";"Serbia";37;"MONROE";38
273;"2026/2";"SEE";161;"TRW";53
273;"2026/2";"Nordic";127;"NK";6
273;"2026/2";"SEE";133;"MAPCO";1
273;"2026/2";"EEU";4593;"TEDGUM";1
273;"2026/2";"Nordic";108;"TRISCAN";687
273;"2026/2";"Portugal";101;"FEBI BILSTEIN";4179
273;"2026/2";"Balkan";350;"BLUE PRINT";3
273;"2026/2";"Nordic";161;"TRW";7
273;"2026/2";"Slovenia";378;"OPEN PARTS";2
273;"2026/2";"West Europe";108;"TRISCAN";1
273;"2026/2";"Balkan";161;"TRW";460
273;"2026/2";"West Europe";201;"KAVO PARTS";16
273;"2026/2";"Other";161;"TRW";3
273;"2026/2";"West Europe";4969;"ESEN SKV";23
273;"2026/2";"West Europe";6985;"JPN";2
273;"2026/2";"SEE";2235;"TQ";1
273;"2026/2";"Nordic";2728;"ORIGINAL Schäferbarthold";7
273;"2026/2";"West Europe";209;"TRUCKTEC AUTOMOTIVE";1
273;"2026/2";"Other";192;"FAG";4
273;"2026/2";"ROW";4999;"ÜRO Parts";1
273;"2026/2";"EEU";101;"FEBI BILSTEIN";1
273;"2026/2";"West Europe";267;"FAI AutoParts";11
273;"2026/2";"ROW";78;"KLOKKERHOLM";1
273;"2026/2";"Slovenia";4593;"TEDGUM";4
273;"2026/2";"Other";101;"FEBI BILSTEIN";1
273;"2026/2";"Balkan";4593;"TEDGUM";3
273;"2026/2";"SEE";208;"BIRTH";3
273;"2026/2";"ROW";4727;"FORMPART";2
273;"2026/2";"Other";89;"DELPHI";1
273;"2026/2";"SEE";134;"MOOG";17
273;"2026/2";"B";6892;"REINHOCH";47
273;"2026/2";"Romania";151;"SWAG";549
273;"2026/2";"Romania";161;"TRW";5067
273;"2026/2";"Portugal";161;"TRW";1992
273;"2026/2";"N";135;"SIDEM";132
273;"2026/2";"Serbia";301;"TOPRAN";16
273;"2026/2";"Balkan";151;"SWAG";148
273;"2026/2";"Germany";4425;"VEMA";2
273;"2026/2";"Austria";208;"BIRTH";5
273;"2026/2";"Balkan";4727;"FORMPART";5
273;"2026/2";"ROW";144;"MEYLE";37
273;"2026/2";"Switzerland";30;"BOSCH";3
273;"2026/2";"West Europe";201;"KAVO PARTS";8
273;"2026/2";"Spain";4306;"Automotive RYME";4
273;"2026/2";"Romania";4623;"SAMPA";24
273;"2026/2";"Austria";486;"FRAP";18
273;"2026/2";"Other";108;"TRISCAN";5
273;"2026/2";"Other";421;"COMLINE";15
273;"2026/2";"Romania";162;"VAICO";30
273;"2026/2";"Other";55;"HERTH+BUSS JAKOPARTS";1
273;"2026/2";"Serbia";373;"GSP";5
273;"2026/2";"West Europe";6892;"REINHOCH";13
273;"2026/2";"Balkan";248;"NIPPARTS";3
273;"2026/2";"Balkan";4938;"FAST";4
273;"2026/2";"Portugal";430;"RTS";3
273;"2026/2";"Germany";486;"FRAP";7
273;"2026/2";"Other";134;"MOOG";1
273;"2026/2";"Balkan";186;"DENCKERMANN";431
273;"2026/2";"Serbia";209;"TRUCKTEC AUTOMOTIVE";1
273;"2026/2";"Other";144;"MEYLE";1
273;"2026/2";"Austria";30;"BOSCH";69
273;"2026/2";"Other";4664;"Metalcaucho";1
273;"2026/2";"Romania";42;"DAYCO";5
273;"2026/2";"N";42;"DAYCO";2
273;"2026/2";"Other";161;"TRW";6
273;"2026/2";"Balkan";185;"KAMOKA";346
273;"2026/2";"EEU";135;"SIDEM";1
273;"2026/2";"Romania";267;"FAI AutoParts";1
273;"2026/2";"Nordic";4674;"FEBEST";20
273;"2026/2";"Romania";129;"OPTIMAL";21
273;"2026/2";"Nordic";6525;"Amity AP";42
273;"2026/2";"EEU";161;"TRW";2
273;"2026/2";"Croatia";37;"MONROE";1
273;"2026/2";"Nordic";135;"SIDEM";6
273;"2026/2";"Spain";108;"TRISCAN";19
273;"2026/2";"EEU";161;"TRW";1
273;"2026/2";"Other";161;"TRW";4
273;"2026/2";"Nordic";78;"KLOKKERHOLM";15
273;"2026/2";"Nordic";129;"OPTIMAL";144
273;"2026/2";"Other";134;"MOOG";2
273;"2026/2";"Balkan";129;"OPTIMAL";1
273;"2026/2";"EEU";89;"DELPHI";1
273;"2026/2";"EEU";4495;"AUGER";1
273;"2026/2";"Other";89;"DELPHI";2
273;"2026/2";"Balkan";323;"AUTOMEGA";1
273;"2026/2";"Other";95;"MAGNETI MARELLI";7
273;"2026/2";"Germany";33;"GATES";3
273;"2026/2";"West Europe";6359;"IAP QUALITY PARTS";1
273;"2026/2";"Other";4674;"FEBEST";2
273;"2026/2";"EEU";129;"OPTIMAL";3
273;"2026/2";"Balkan";5251;"HART";1
273;"2026/2";"Other";35;"LEMFÖRDER";2
273;"2026/2";"SEE";129;"OPTIMAL";8
273;"2026/2";"Germany";2112;"OE-FIT Schäferbarthold";1
273;"2026/2";"Germany";475;"BORG & BECK";1
273;"2026/2";"Germany";407;"FIRST LINE";1
273;"2026/2";"Germany";50;"SKF";6018
273;"2026/2";"EEU";156;"JAPANPARTS";68
273;"2026/2";"Austria";4593;"TEDGUM";60
273;"2026/2";"Germany";192;"FAG";17304
273;"2026/2";"Germany";253;"DIEDERICHS";100
273;"2026/2";"B";89;"DELPHI";361
273;"2026/2";"Slovenia";101;"FEBI BILSTEIN";2583
273;"2026/2";"Austria";127;"NK";842
273;"2026/2";"SEE";144;"MEYLE";1849
273;"2026/2";"SEE";30;"BOSCH";5
273;"2026/2";"SEE";85;"KYB";6
273;"2026/2";"EEU";127;"NK";1284
273;"2026/2";"EEU";144;"MEYLE";11016
273;"2026/2";"Croatia";267;"FAI AutoParts";423
273;"2026/2";"ROW";201;"KAVO PARTS";9
