GENART_DESC;GENARTNR;TYPENR;BSK_POS;RATIO (%);AISIN;Schaeffler LuK;BLUE PRINT;EXEDY;VALEO;JAPANPARTS;HERTH+BUSS JAKOPARTS;WESTLAKE;RYMEC;SACHS
Kupplungssatz;479;835;41;0,0252;1;1;2;1;2;2;1;1;1;1
Kupplungssatz;479;18297;3;0,0018;3;4;5;4;9;0;3;2;4;5
Kupplungssatz;479;17182;19;0,0117;0;1;1;0;1;0;0;0;0;1
Kupplungssatz;479;14597;114;0,07;1;3;3;3;0;4;2;1;3;3
Kupplungssatz;479;119472;51;0,0313;0;3;0;3;11;0;0;0;0;5
Kupplungssatz;479;9984;3;0,0018;4;3;2;2;5;0;2;2;3;3
Kupplungssatz;479;18074;59;0,0362;4;8;8;4;12;0;3;2;4;9
Kupplungssatz;479;3247;7;0,0043;1;3;1;2;4;1;1;2;2;4
Kupplungssatz;479;31534;23;0,0141;1;2;2;0;3;0;0;0;2;1
Kupplungssatz;479;115199;1;0,0006;0;3;3;2;5;0;2;1;2;3
Kupplungssatz;479;18599;41;0,0252;1;1;1;1;3;1;0;1;1;1
Kupplungssatz;479;105717;6;0,0037;2;4;2;2;3;0;2;0;0;3
Kupplungssatz;479;17259;6;0,0037;0;1;1;0;0;2;0;0;0;1
Kupplungssatz;479;123044;15;0,0092;0;3;0;3;8;0;0;0;0;3
Kupplungssatz;479;2972;2;0,0012;0;0;0;0;1;0;0;0;0;4
Kupplungssatz;479;131249;20;0,0123;0;3;0;3;0;0;0;0;2;2
Kupplungssatz;479;142013;6;0,0037;2;1;0;0;3;2;0;0;0;2
Kupplungssatz;479;122970;10;0,0061;1;1;1;1;4;1;1;0;1;1
Kupplungssatz;479;16545;11;0,0068;1;1;2;1;8;2;1;2;2;1
Kupplungssatz;479;28536;9;0,0055;1;2;1;1;5;1;1;0;2;2
Kupplungssatz;479;143332;2;0,0012;2;2;0;2;5;0;2;0;2;4
Kupplungssatz;479;58803;6;0,0037;1;3;1;1;2;1;1;0;1;1
Kupplungssatz;479;9901;46;0,0283;2;5;5;4;6;2;0;4;5;4
Kupplungssatz;479;22625;3;0,0018;2;2;1;1;4;2;0;1;2;2
Kupplungssatz;479;19368;3;0,0018;2;3;1;3;4;3;3;2;3;1
Kupplungssatz;479;113454;3;0,0018;0;1;1;1;1;0;1;0;1;2
Kupplungssatz;479;34134;1;0,0006;0;0;0;1;1;0;0;0;0;1
Kupplungssatz;479;119478;1;0,0006;0;3;0;3;11;0;0;0;0;5
Kupplungssatz;479;119878;29;0,0178;0;3;1;1;1;0;0;0;0;1
Kupplungssatz;479;141968;10;0,0061;0;0;0;1;3;0;0;0;0;5
Kupplungssatz;479;108013;4;0,0025;0;2;0;0;2;0;0;0;0;1
Kupplungssatz;479;1855;1;0,0006;0;2;0;1;2;0;0;0;1;4
Kupplungssatz;479;132833;3;0,0018;0;0;2;0;0;0;0;0;0;1
Kupplungssatz;479;8862;4;0,0025;1;2;3;2;6;3;1;3;3;2
Kupplungssatz;479;58585;2;0,0012;2;3;2;2;1;0;0;2;2;4
Kupplungssatz;479;2742;9;0,0055;1;1;0;1;1;0;0;1;0;1
Kupplungssatz;479;3985;2;0,0012;0;1;0;0;1;0;0;0;1;1
Kupplungssatz;479;133860;6;0,0037;1;3;3;1;2;0;0;0;0;3
Kupplungssatz;479;11939;2;0,0012;0;0;0;0;1;1;0;0;1;0
Kupplungssatz;479;27674;19;0,0117;2;2;1;1;2;0;1;2;2;2
Kupplungssatz;479;6342;4;0,0025;1;1;1;1;1;0;0;1;1;1
Kupplungssatz;479;141350;1;0,0006;0;0;0;0;6;0;0;0;0;4
Kupplungssatz;479;11098;2;0,0012;1;1;2;0;1;0;0;1;1;1
Kupplungssatz;479;463;4;0,0025;0;2;1;1;1;0;0;1;1;1
Kupplungssatz;479;32969;1;0,0006;1;2;1;2;3;0;0;0;2;2
Kupplungssatz;479;123361;2;0,0012;1;2;1;0;3;0;1;0;1;3
Kupplungssatz;479;31126;6;0,0037;2;4;0;1;5;2;0;0;3;4
Kupplungssatz;479;30408;2;0,0012;2;2;2;2;1;1;0;0;2;1
Kupplungssatz;479;138678;2;0,0012;1;2;0;0;1;0;0;0;1;0
Kupplungssatz;479;15358;2;0,0012;3;3;3;3;3;1;3;2;3;6
Kupplungssatz;479;117066;2;0,0012;0;3;2;1;5;0;1;2;0;2
Kupplungssatz;479;117327;1;0,0006;3;2;2;2;4;0;0;0;3;4
Kupplungssatz;479;3526;3;0,0018;4;1;3;1;6;3;1;2;1;2
Kupplungssatz;479;1824;5;0,0031;1;1;1;1;2;1;0;1;1;1
Kupplungssatz;479;495;2;0,0012;1;2;1;0;1;0;0;0;1;2
Kupplungssatz;479;152928;1;0,0006;0;0;0;0;0;0;0;0;0;0
Kupplungssatz;479;129447;2;0,0012;1;3;1;0;3;2;0;0;4;2
Kupplungssatz;479;801381;3;0,0018;0;4;2;0;0;0;0;0;0;0
Kupplungssatz;479;15670;4;0,0025;0;0;0;0;2;1;0;0;0;2
Kupplungssatz;479;33188;1;0,0006;0;0;0;1;0;0;0;0;0;0
