GENARTNR;GENARTDESCR;NORMSEARCHWORD;QTY_POS;RATIO (%);Schaeffler LuK;VALEO;HERTH+BUSS JAKOPARTS;JAPANPARTS;AISIN;BLUE PRINT;EXEDY;WESTLAKE;RYMEC;SACHS
479;Kupplungssatz;021204;4;0,0019;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;021206;4;0,0019;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;021207;6;0,0029;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;021211;1;0,0005;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;021213;9;0,0043;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;021215;8;0,0039;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;0212500701;1;0,0005;1;1;0;0;0;0;0;1;1;1
479;Kupplungssatz;0212501301;1;0,0005;1;1;0;0;1;0;1;0;1;1
479;Kupplungssatz;0212501401;1;0,0005;1;1;0;0;1;0;0;0;1;1
479;Kupplungssatz;0212501601;2;0,001;1;1;0;1;1;1;1;0;0;1
479;Kupplungssatz;0212502801;1;0,0005;1;1;0;0;0;0;0;0;0;1
479;Kupplungssatz;0212503801;2;0,001;1;1;0;0;0;0;0;1;1;1
479;Kupplungssatz;0212507401;3;0,0014;1;1;0;0;1;1;1;1;1;1
479;Kupplungssatz;0212507701;4;0,0019;1;1;0;0;0;0;0;0;0;1
479;Kupplungssatz;0212508901;1;0,0005;1;1;0;0;0;0;0;0;1;1
479;Kupplungssatz;0212509101;7;0,0034;1;1;0;0;1;0;0;0;1;1
479;Kupplungssatz;0212509901;1;0,0005;1;1;0;0;0;0;0;1;1;1
479;Kupplungssatz;02125099010212509901;1;0,0005;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;022141015B;14;0,0068;1;1;0;0;0;0;0;0;0;1
479;Kupplungssatz;022141015R;6;0,0029;1;1;0;0;0;1;1;1;1;1
479;Kupplungssatz;022141015S;667;0,3218;1;1;0;1;1;1;1;1;1;1
479;Kupplungssatz;022141015SX;29;0,014;0;1;0;1;1;1;0;0;1;1
479;Kupplungssatz;022141015T;6;0,0029;1;1;0;0;0;0;0;0;1;1
479;Kupplungssatz;022141016;6;0,0029;1;1;0;1;1;1;1;1;1;1
479;Kupplungssatz;022141031S;16;0,0077;1;1;0;0;1;0;0;1;1;0
479;Kupplungssatz;0222500501;3;0,0014;0;1;0;0;1;0;0;0;0;1
479;Kupplungssatz;0222500701;5;0,0024;1;1;0;0;1;0;0;0;0;1
479;Kupplungssatz;0222507501;2;0,001;1;1;0;0;1;0;1;0;0;1
479;Kupplungssatz;023000287002;1;0,0005;0;0;0;0;0;0;0;0;0;1
479;Kupplungssatz;023141031K;4;0,0019;1;0;0;0;0;0;0;0;0;1
479;Kupplungssatz;0232500001;2;0,001;1;1;0;1;1;1;1;0;0;1
479;Kupplungssatz;0232500201;51;0,0246;1;1;0;0;1;1;1;1;1;1
479;Kupplungssatz;0232501301;2;0,001;0;1;0;0;0;0;0;0;0;0
479;Kupplungssatz;0232502901;1;0,0005;1;1;0;0;0;0;0;1;1;1
479;Kupplungssatz;0232505601;3;0,0014;1;1;0;0;0;1;1;0;0;1
479;Kupplungssatz;0232505701;1;0,0005;1;1;0;0;0;0;1;0;0;1
479;Kupplungssatz;0232506601;1;0,0005;1;1;0;0;0;0;0;0;1;1
479;Kupplungssatz;0232507301;1;0,0005;0;1;0;0;0;0;0;0;1;1
479;Kupplungssatz;0232509601;1;0,0005;1;1;0;0;0;0;1;0;0;1
479;Kupplungssatz;0242502501;2;0,001;1;1;0;0;0;0;0;1;1;1
479;Kupplungssatz;0242507201;5;0,0024;1;1;0;0;1;0;1;0;0;1
479;Kupplungssatz;0242507501;1;0,0005;1;1;0;0;0;0;0;1;1;1
479;Kupplungssatz;0242507601;1;0,0005;1;1;0;0;0;1;0;0;0;1
479;Kupplungssatz;0242508401;1;0,0005;1;1;0;0;1;0;1;0;0;1
479;Kupplungssatz;0243000950019;1;0,0005;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;0243000950098;1;0,0005;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;0243000952012;1;0,0005;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;0243000970142;1;0,0005;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;024620308600;2;0,001;0;0;0;0;0;0;0;0;0;0
