GENARTNR;GENARTDESCR;NORMSEARCHWORD;QTY_POS;RATIO (%);VALEO;LEMF?RDER;METZGER AUTOTEILE;MAGNETI MARELLI;FEBI BILSTEIN;MAXGEAR;DOGA;ELECTRIC LIFE;Ac Rolcar;VAN WEZEL
1561;Fensterheber;014832;1;0,0028;0;0;1;1;0;0;1;1;1;1
1561;Fensterheber;014834;5;0,014;1;0;1;1;1;1;1;1;1;1
1561;Fensterheber;014835;3;0,0084;1;0;1;1;1;1;1;1;1;1
1561;Fensterheber;014847;2;0,0056;1;0;1;1;1;1;1;1;1;1
1561;Fensterheber;014848;1;0,0028;1;0;1;1;1;1;1;1;1;1
1561;Fensterheber;014849;2;0,0056;0;0;1;1;1;1;1;1;1;1
1561;Fensterheber;014857;1;0,0028;0;0;1;1;1;1;1;1;1;1
1561;Fensterheber;014858;1;0,0028;1;0;1;1;0;1;1;1;1;1
1561;Fensterheber;014865;1;0,0028;0;0;1;1;0;1;0;1;1;1
1561;Fensterheber;014871;4;0,0112;1;0;1;1;1;1;1;1;1;1
1561;Fensterheber;014874;1;0,0028;0;0;1;1;1;1;1;1;1;1
1561;Fensterheber;014875;1;0,0028;0;0;1;1;1;1;1;1;1;1
1561;Fensterheber;014878;1;0,0028;0;0;0;1;0;1;1;0;1;1
1561;Fensterheber;014889;1;0,0028;1;0;1;1;1;1;1;1;1;1
1561;Fensterheber;014894;1;0,0028;1;0;1;1;1;1;0;1;1;1
1561;Fensterheber;014898;2;0,0056;0;0;0;1;0;0;1;1;1;1
1561;Fensterheber;014899;1;0,0028;0;0;0;1;0;0;0;1;1;1
1561;Fensterheber;014924;1;0,0028;0;0;0;0;0;0;0;0;1;0
1561;Fensterheber;014930;6;0,0168;1;0;1;0;0;1;1;1;1;1
1561;Fensterheber;014931;1;0,0028;1;0;1;0;0;1;1;1;1;1
1561;Fensterheber;014933;1;0,0028;0;0;0;0;0;0;0;0;1;0
1561;Fensterheber;014979;2;0,0056;0;0;0;1;1;0;0;1;1;0
1561;Fensterheber;015036;1;0,0028;0;0;0;0;0;0;1;1;1;0
